Id Jornada,Fecha,Hora,Base Efectivo Sistema,Id Operario,Base Efectivo Operario
000021,15/11/2018,23:42:57,2000,0001,2000
000023,15/11/2018,23:43:55,2500,0001,2500
000025,16/11/2018,11:12:39,4500,0001,4500
000027,16/11/2018,11:15:41,5000,0002,5000
000029,16/11/2018,11:22:07,5000,0002,5000
000031,16/11/2018,12:08:07,5000,0002,5000
000033,16/11/2018,14:33:28,6000,0001,687
000035,16/11/2018,14:36:06,6000,0001,6000
000037,16/11/2018,14:41:35,6500,0001,6500
000039,17/11/2018,18:37:54,14100,0001,14100
000041,17/11/2018,18:41:28,14600,0001,14600
000043,27/11/2018,15:36:24,15000,0001,15000
